c_shot_x,c_shot_y,shot_type,shot_distance_feet
123,507,2PA,13.31662896848513
197,499,2PA,8.46688134926754
245,507,2PA,5.1856766516123844
226,502,2PA,6.525198963513917
184,261,3PA,22.104318242724194
136,359,2PA,18.018767871238676
270,508,2PA,3.7731339838053835
108,522,2PA,14.187585933423277
393,252,3PA,21.86455279539799
467,294,3PA,21.318718765828567
251,332,2PA,15.776545749648445
496,259,3PA,24.528023824625638
218,218,3PA,24.21083216931556
37,426,3PA,20.968792490977695
358,333,2PA,15.655958918634058
302,431,2PA,8.251346802965067
232,411,2PA,11.00679653059445
362,231,3PA,22.814478692171615
163,408,2PA,14.177073771508878
278,465,2PA,6.159861333393688
543,315,3PA,23.577151135349816
193,224,3PA,24.326719219530904
304,486,2PA,4.338823086161269
417,429,2PA,11.51680708936155
315,241,3PA,21.762961445296853
498,324,3PA,20.919446848346176
310,243,3PA,21.613245117338234
25,466,3PA,20.789676336318085
203,498,2PA,8.108629406223054
21,500,3PA,20.534320503642288
276,241,3PA,21.85784867826931
560,392,3PA,21.153440589794517
26,476,3PA,20.53518188646433
288,486,2PA,4.521349369523558
127,301,3PA,21.627854467259205
212,490,2PA,7.815056661467893
148,286,3PA,21.689455791504184
382,307,2PA,17.89662822092083
104,312,3PA,22.02977223068448
392,501,2PA,6.933375548949731
185,385,2PA,14.374435709536943
359,398,2PA,11.242571276543266
453,282,3PA,21.543216918296753
393,527,2PA,6.346155613214733
518,328,3PA,21.668475014654447
354,479,2PA,5.917152240763454
247,510,2PA,4.950848913691038
404,250,3PA,22.233462045473853
262,223,3PA,23.24459751774689
359,232,3PA,22.708124152830727
77,348,3PA,21.567600342068022
366,476,2PA,6.6083160637590215
217,520,2PA,6.611756601091804
405,491,2PA,8.085848367627401
